,Movie,Year,Genre,Rating,metaScore,Votes,Length,Age Certificate
968,What's Eating Gilbert Grape,1993,Drama,7.8,73.0,211136,118,PG-13
736,Thank You for Smoking,2005,"Comedy, Drama",7.6,71.0,211430,92,R
541,Mr. Nobody,2009,"Drama, Fantasy, Romance",7.8,63.0,212700,141,R
532,Modern Times,1936,"Comedy, Drama, Family",8.5,96.0,212745,87,G
688,Singin' in the Rain,1952,"Comedy, Musical, Romance",8.3,99.0,214422,103,G
397,A Separation,2011,"Drama, Thriller",8.3,95.0,215327,123,PG-13
294,Gandhi,1982,"Biography, Drama, History",8.0,79.0,215682,191,PG
100,Ben-Hur,1959,"Adventure, Drama, History",8.1,90.0,215797,212,G
773,The Elephant Man,1980,"Biography, Drama",8.1,78.0,215798,124,PG
52,Amores Perros,2000,"Drama, Thriller",8.1,83.0,220179,154,R
606,Philadelphia,1993,Drama,7.7,66.0,220512,125,PG-13
796,The Great Escape,1963,"Adventure, Drama, History",8.2,86.0,220780,172,Not Rated
5,21 Grams,2003,"Crime, Drama, Thriller",7.7,70.0,221933,124,R
279,First Blood,1982,"Action, Adventure",7.7,61.0,222433,93,R
328,Halloween,1978,"Horror, Thriller",7.8,87.0,224063,91,R
246,Eastern Promises,2007,"Action, Crime, Drama",7.6,82.0,224619,100,R
569,Cinema Paradiso,1988,Drama,8.5,80.0,224730,155,R
257,End of Watch,2012,"Action, Crime, Drama",7.6,68.0,225201,109,R
750,The Boondock Saints,1999,"Action, Crime, Thriller",7.8,44.0,225223,108,R
354,Grave of the Fireflies,1988,"Animation, Drama, War",8.5,94.0,227624,89,Not Rated
601,For a Few Dollars More,1965,Western,8.3,74.0,227676,132,R
191,Das Boot,1981,"Adventure, Drama, Thriller",8.3,86.0,227685,149,R
741,The Artist,2011,"Comedy, Drama, Romance",7.9,89.0,227974,100,PG-13
96,Before Sunset,2004,"Drama, Romance",8.1,90.0,230376,80,R
962,Walk the Line,2005,"Biography, Drama, Music",7.8,72.0,230392,136,PG-13
18,A Few Good Men,1992,"Drama, Thriller",7.7,62.0,230628,138,R
513,Marriage Story,2019,"Comedy, Drama, Romance",8.0,94.0,231295,137,R
230,Dog Day Afternoon,1975,"Biography, Crime, Drama",8.0,86.0,231777,125,R
830,The Little Mermaid,1989,"Animation, Family, Fantasy",7.6,88.0,232989,83,G
478,Lethal Weapon,1987,"Action, Crime, Thriller",7.6,68.0,233092,109,R
123,Boogie Nights,1997,Drama,7.9,85.0,234948,155,R
161,Changeling,2008,"Biography, Crime, Drama",7.7,63.0,235136,141,R
186,Dances with Wolves,1990,"Adventure, Drama, Western",8.0,72.0,236023,181,PG-13
116,Blow,2001,"Biography, Crime, Drama",7.6,52.0,237433,124,R
884,The Sting,1973,"Comedy, Crime, Drama",8.3,83.0,237467,129,PG
574,Office Space,1999,Comedy,7.7,68.0,238408,89,R
258,Enemy at the Gates,2001,"Drama, History, War",7.6,53.0,239254,131,R
791,The Goonies,1985,"Adventure, Comedy, Family",7.8,62.0,239331,114,PG
698,Some Like It Hot,1959,"Comedy, Music, Romance",8.2,98.0,239369,121,Passed
509,Manchester by the Sea,2016,Drama,7.8,96.0,239994,137,R
375,Incredibles 2,2018,"Animation, Action, Adventure",7.6,80.0,241444,118,PG
181,Creed,2015,"Drama, Sport",7.6,82.0,242791,133,PG-13
642,Road to Perdition,2002,"Crime, Drama, Thriller",7.7,72.0,243118,117,R
69,Atonement,2007,"Drama, Mystery, Romance",7.8,85.0,245619,123,R
309,Gone Baby Gone,2007,"Crime, Drama, Mystery",7.6,72.0,246549,114,R
325,Hachi: A Dog's Tale,2009,"Drama, Family",8.1,,247292,93,G
45,Almost Famous,2000,"Adventure, Comedy, Drama",7.9,90.0,248719,122,R
61,Annie Hall,1977,"Comedy, Romance",8.0,92.0,248997,93,PG
543,Mulan,1998,"Animation, Adventure, Family",7.6,71.0,250155,88,G
979,"Crouching Tiger, Hidden Dragon",2000,"Action, Adventure, Fantasy",7.8,94.0,250262,120,PG-13
617,Pride & Prejudice,2005,"Drama, Romance",7.8,82.0,250584,129,PG
792,The Graduate,1967,"Comedy, Drama, Romance",8.0,83.0,250663,106,PG
717,Stardust,2007,"Adventure, Family, Fantasy",7.6,66.0,251213,127,PG-13
659,Scent of a Woman,1992,Drama,8.0,59.0,255718,156,R
272,Fear and Loathing in Las Vegas,1998,"Adventure, Comedy, Drama",7.6,41.0,256040,118,R
871,The Royal Tenenbaums,2001,"Comedy, Drama",7.6,76.0,262041,110,R
282,Ford v Ferrari,2019,"Action, Biography, Drama",8.1,81.0,262968,152,PG-13
461,Lawrence of Arabia,1962,"Adventure, Biography, Drama",8.3,100.0,262994,228,Approved
782,The Fugitive,1993,"Action, Crime, Drama",7.8,87.0,263161,130,PG-13
64,Apollo 13,1995,"Adventure, Drama, History",7.6,77.0,263179,140,PG
531,Moana,2016,"Animation, Adventure, Comedy",7.6,81.0,263277,107,PG
398,Jojo Rabbit,2019,"Comedy, Drama, War",7.9,58.0,264153,108,PG-13
95,Before Sunrise,1995,"Drama, Romance",8.1,77.0,264827,101,R
68,As Good as It Gets,1997,"Comedy, Drama, Romance",7.7,67.0,270908,139,PG-13
394,The Hunt,2012,Drama,8.3,77.0,271723,115,R
232,Donnie Brasco,1997,"Biography, Crime, Drama",7.7,76.0,273597,127,R
896,The Untouchables,1987,"Crime, Drama, Thriller",7.9,79.0,274173,119,R
296,Gattaca,1997,"Drama, Sci-Fi, Thriller",7.8,64.0,276721,106,PG-13
669,Serenity,2005,"Action, Adventure, Sci-Fi",7.8,74.0,280496,119,PG-13
570,"O Brother, Where Art Thou?",2000,"Adventure, Comedy, Crime",7.7,69.0,280637,107,PG-13
919,My Neighbor Totoro,1988,"Animation, Family, Fantasy",8.2,86.0,281162,86,G
132,Bridge of Spies,2015,"Drama, History, Thriller",7.6,81.0,282400,142,PG-13
671,Seven Pounds,2008,Drama,7.6,36.0,283084,123,PG-13
529,Mission: Impossible - Fallout,2018,"Action, Adventure, Thriller",7.7,86.0,283213,147,PG-13
10,3:10 to Yuma,2007,"Action, Crime, Drama",7.7,76.0,285096,122,R
311,Gone with the Wind,1939,"Drama, History, Romance",8.1,97.0,285252,238,Passed
504,Magnolia,1999,Drama,8.0,77.0,285624,188,R
853,The Nightmare Before Christmas,1993,"Animation, Family, Fantasy",8.0,82.0,286765,76,PG
905,The Wrestler,2008,"Drama, Sport",7.9,80.0,286936,109,R
63,Apocalypto,2006,"Action, Adventure, Drama",7.8,68.0,287186,139,R
748,The Blind Side,2009,"Biography, Drama, Sport",7.6,53.0,287287,129,PG-13
165,Chinatown,1974,"Drama, Mystery, Thriller",8.1,92.0,288525,130,R
914,To Kill a Mockingbird,1962,"Crime, Drama",8.2,88.0,289970,129,Approved
491,Lord of War,2005,"Action, Crime, Drama",7.6,62.0,290735,122,R
26,About Time,2013,"Comedy, Drama, Fantasy",7.8,55.0,291470,123,R
565,North by Northwest,1959,"Adventure, Mystery, Thriller",8.3,98.0,293465,136,Approved
141,Once Upon a Time in the West,1968,Western,8.5,80.0,297101,165,PG-13
497,Lucky Number Slevin,2006,"Crime, Drama, Mystery",7.7,53.0,297323,110,R
357,How to Train Your Dragon 2,2014,"Animation, Action, Adventure",7.8,76.0,299821,102,PG
582,Once Upon a Time in America,1984,"Crime, Drama",8.4,,304276,229,R
770,The Deer Hunter,1978,"Drama, War",8.1,86.0,305836,183,R
933,True Grit,2010,"Drama, Western",7.6,80.0,306405,110,PG-13
97,Being John Malkovich,1999,"Comedy, Drama, Fantasy",7.7,90.0,307143,113,R
812,The Irishman,2019,"Biography, Crime, Drama",7.9,94.0,308436,209,R
676,Seven Samurai,1954,"Action, Adventure, Drama",8.6,98.0,309793,207,Not Rated
12,50/50,2011,"Comedy, Drama, Romance",7.6,72.0,312653,100,R
539,Moonrise Kingdom,2012,"Comedy, Drama, Romance",7.8,84.0,312953,94,PG-13
544,Mulholland Drive,2001,"Drama, Mystery, Thriller",8.0,85.0,314772,147,R
273,Ferris Bueller's Day Off,1986,Comedy,7.8,61.0,315391,103,PG-13
624,Raging Bull,1980,"Biography, Drama, Sport",8.2,89.0,315548,129,R
135,Brokeback Mountain,2005,"Drama, Romance",7.7,87.0,318275,134,R
827,The Lego Movie,2014,"Animation, Action, Adventure",7.7,83.0,320267,100,PG
23,A Star Is Born,2018,"Drama, Music, Romance",7.7,88.0,322060,136,R
342,Howl's Moving Castle,2004,"Animation, Adventure, Family",8.2,80.0,322316,119,PG
507,Man on Fire,2004,"Action, Crime, Drama",7.7,47.0,324841,146,R
210,Downfall,2004,"Biography, Drama, History",8.2,82.0,326094,156,R
355,Hotel Rwanda,2004,"Biography, Drama, History",8.1,79.0,330318,121,PG-13
538,Moon,2009,"Drama, Mystery, Sci-Fi",7.9,67.0,330847,97,R
856,The Others,2001,"Horror, Mystery, Thriller",7.6,74.0,331688,104,PG-13
125,Boyhood,2014,Drama,7.9,100.0,331726,165,R
380,Inside Man,2006,"Crime, Drama, Mystery",7.6,76.0,332828,129,R
535,Princess Mononoke,1997,"Animation, Adventure, Fantasy",8.4,76.0,333628,134,PG-13
8,3 Idiots,2009,"Comedy, Drama",8.4,67.0,334597,170,PG-13
779,The Fighter,2010,"Biography, Drama, Sport",7.8,79.0,335334,116,R
783,The Game,1997,"Action, Drama, Mystery",7.8,61.0,338356,129,R
777,The Fault in Our Stars,2014,"Drama, Romance",7.7,69.0,338520,126,PG-13
703,Spider-Man: Into the Spider-Verse,2018,"Animation, Action, Adventure",8.4,87.0,341930,117,PG
318,Green Book,2018,"Biography, Comedy, Drama",8.2,69.0,347672,130,PG-13
299,Ghostbusters,1984,"Action, Comedy, Fantasy",7.8,71.0,348660,105,PG
755,The Breakfast Club,1985,"Comedy, Drama",7.8,66.0,351144,97,R
745,The Big Short,2015,"Biography, Comedy, Drama",7.8,81.0,351331,130,R
806,The Illusionist,2006,"Drama, Fantasy, History",7.6,68.0,351453,110,PG-13
194,The Lives of Others,2006,"Drama, Mystery, Thriller",8.4,89.0,351499,137,R
789,The Godfather: Part III,1990,"Crime, Drama",7.6,60.0,351992,162,R
838,The Machinist,2004,"Drama, Thriller",7.7,61.0,352538,101,R
951,Vertigo,1958,"Mystery, Romance, Thriller",8.3,100.0,355507,128,PG
774,The Exorcist,1973,Horror,8.0,81.0,355693,122,R
534,Moneyball,2011,"Biography, Drama, Sport",7.6,87.0,356921,133,PG-13
174,Coco,2017,"Animation, Adventure, Family",8.4,81.0,357294,105,PG
709,Stand by Me,1986,"Adventure, Drama",8.1,75.0,357441,89,R
218,Die Hard with a Vengeance,1995,"Action, Adventure, Thriller",7.6,58.0,358430,128,R
109,Black Hawk Down,2001,"Drama, History, War",7.7,74.0,359315,144,R
648,Room,2015,"Drama, Thriller",8.1,86.0,360603,118,R
481,Monty Python's Life of Brian,1979,Comedy,8.1,77.0,361015,94,R
892,The Thing,1982,"Horror, Mystery, Sci-Fi",8.1,57.0,362358,109,R
46,Amadeus,1984,"Biography, Drama, History",8.3,88.0,362776,160,R
684,Sicario,2015,"Action, Crime, Drama",7.6,82.0,363014,121,R
244,E.T. the Extra-Terrestrial,1982,"Family, Sci-Fi",7.8,91.0,364518,115,PG
615,Predator,1987,"Action, Adventure, Sci-Fi",7.8,45.0,365944,107,R
38,Aladdin,1992,"Animation, Adventure, Comedy",8.0,86.0,366378,90,G
902,The Wizard of Oz,1939,"Adventure, Family, Fantasy",8.0,100.0,367186,102,PG
945,Unforgiven,1992,"Drama, Western",8.2,85.0,369222,130,R
7,28 Days Later...,2002,"Drama, Horror, Sci-Fi",7.6,73.0,370814,113,R
981,Wreck-It Ralph,2012,"Animation, Adventure, Comedy",7.7,72.0,373138,101,PG
657,Saw,2004,"Horror, Mystery",7.6,46.0,373426,103,R
3,1917,2019,"Drama, War",8.3,78.0,374104,119,R
613,Platoon,1986,"Drama, War",8.1,92.0,374879,120,R
522,Midnight in Paris,2011,"Comedy, Fantasy, Romance",7.7,81.0,381806,94,PG-13
926,Training Day,2001,"Crime, Drama, Thriller",7.7,69.0,383119,122,R
49,American Gangster,2007,"Biography, Crime, Drama",7.8,76.0,384740,157,R
369,In Bruges,2008,"Comedy, Crime, Drama",7.9,67.0,385072,107,R
863,The Princess Bride,1987,"Adventure, Family, Fantasy",8.1,77.0,387415,98,PG
390,It's a Wonderful Life,1946,"Drama, Family, Fantasy",8.6,89.0,390163,130,PG
170,Citizen Kane,1941,"Drama, Mystery",8.3,100.0,391425,119,PG
825,The Last Samurai,2003,"Action, Drama, War",7.7,55.0,393803,154,R
889,The Theory of Everything,2014,"Biography, Drama, Romance",7.7,72.0,394094,123,PG-13
427,Knives Out,2019,"Comedy, Crime, Drama",7.9,82.0,396983,130,PG-13
730,Tangled,2010,"Animation, Adventure, Comedy",7.7,71.0,397911,100,PG
103,Big Hero 6,2014,"Animation, Action, Adventure",7.8,74.0,402796,102,PG
493,Lost in Translation,2003,"Comedy, Drama",7.7,89.0,405813,102,R
197,Dawn of the Planet of the Apes,2014,"Action, Adventure, Drama",7.6,79.0,407708,130,PG-13
705,Spotlight,2015,"Biography, Crime, Drama",8.1,93.0,409410,129,R
102,Big Fish,2003,"Adventure, Drama, Fantasy",8.0,58.0,409861,125,PG-13
93,Beauty and the Beast,1991,"Animation, Family, Fantasy",8.0,95.0,411947,84,G
552,Mystic River,2003,"Crime, Drama, Mystery",7.9,84.0,412956,138,R
786,The Girl with the Dragon Tattoo,2011,"Crime, Drama, Mystery",7.8,71.0,413593,158,R
202,Dead Poets Society,1989,"Comedy, Drama",8.1,79.0,413761,128,PG
150,Captain Phillips,2013,"Adventure, Biography, Crime",7.8,82.0,414014,134,PG-13
910,"Three Billboards Outside Ebbing, Missouri",2017,"Comedy, Crime, Drama",8.2,88.0,415550,115,R
180,Crash,2004,"Crime, Drama, Thriller",7.7,66.0,415997,112,R
494,Love Actually,2003,"Comedy, Drama, Romance",7.6,55.0,416874,135,R
800,The Help,2011,Drama,8.0,62.0,421249,146,PG-13
326,Hacksaw Ridge,2016,"Biography, Drama, History",8.1,71.0,421719,139,R
996,Zootopia,2016,"Animation, Adventure, Comedy",8.0,78.0,423633,108,PG
652,Rush,2013,"Action, Biography, Drama",8.1,74.0,424945,123,R
79,Baby Driver,2017,"Action, Crime, Music",7.6,86.0,425818,113,R
778,The Fifth Element,1997,"Action, Adventure, Sci-Fi",7.7,52.0,427391,126,PG-13
752,The Bourne Supremacy,2004,"Action, Mystery, Thriller",7.7,73.0,428538,108,PG-13
963,Warrior,2011,"Action, Drama, Sport",8.2,71.0,429362,140,PG-13
184,Dallas Buyers Club,2013,"Biography, Drama",8.0,80.0,432182,117,R
486,Little Miss Sunshine,2006,"Comedy, Drama",7.8,80.0,433477,101,R
632,Rear Window,1954,"Mystery, Thriller",8.4,100.0,434998,112,PG
119,Bohemian Rhapsody,2018,"Biography, Drama, Music",8.0,49.0,436743,134,PG-13
249,Edward Scissorhands,1990,"Drama, Fantasy, Romance",7.9,74.0,438996,105,PG-13
865,The Pursuit of Happyness,2006,"Biography, Drama",8.0,64.0,439413,117,PG-13
377,Indiana Jones and the Temple of Doom,1984,"Action, Adventure",7.6,57.0,440197,118,PG
236,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Comedy,8.4,97.0,443119,95,PG
112,Blade Runner 2049,2017,"Action, Drama, Mystery",8.0,81.0,445584,164,R
759,The Butterfly Effect,2004,"Drama, Sci-Fi, Thriller",7.6,30.0,445653,113,R
994,Zodiac,2007,"Crime, Drama, Mystery",7.7,78.0,449490,157,R
562,Nightcrawler,2014,"Crime, Drama, Thriller",7.9,76.0,452635,117,R
